Source_ID,Domain,Question,Answer
TENDER_2023_ARCH_04,Architecture & Technology,Explain your approach to resilience and high availability.,"Resilience is supported through redundancy, monitoring, and recovery mechanisms. Controls are designed to minimise downtime and support continuity of service during disruptions."
TENDER_2023_ARCH_05,Architecture & Technology,Describe how you manage environments (dev/test/prod) and releases.,"Environments are managed with separation of duties and controlled access. Releases follow defined workflows with approvals, testing, and rollback considerations as part of release management."
TENDER_2023_SVC_01,Service Delivery,Describe your organisation’s approach to service delivery management.,"Service delivery is managed through governance structures defining service expectations, reporting, escalation, and continuous improvement. Service performance is reviewed regularly with stakeholders."
TENDER_2023_SVC_02,Service Delivery,Explain how customer feedback is incorporated into service improvement.,"Feedback is collected through agreed channels and reviewed by service teams. Insights are prioritised and actioned through improvement backlogs, with progress communicated to stakeholders."
TENDER_2023_SVC_03,Service Delivery,Describe how service performance is measured.,"Performance is measured using defined KPIs and service levels. Reporting provides transparency on responsiveness, quality, and trends to support continual improvement."
TENDER_2023_SVC_04,Service Delivery,Explain how service delivery risks are identified and managed.,"Risks are identified through governance and operational review processes, assessed for likelihood/impact, and managed via mitigation actions and contingency planning."
TENDER_2023_PRJ_01,Project Delivery,Describe your project delivery methodology.,"Projects are delivered using structured project management practices, including planning, governance oversight, stakeholder engagement, and delivery tracking against milestones and deliverables."
TENDER_2023_PRJ_02,Project Delivery,Explain how project risks and issues are managed.,"Risks and issues are logged, assessed, and managed through mitigation and escalation processes. Actions are tracked, and status is reported regularly to stakeholders."
TENDER_2023_PRJ_03,Project Delivery,Describe how project progress is monitored and reported.,"Progress is tracked against plan, milestones, and deliverables. Regular status reporting covers schedule, risks, issues, dependencies, and decisions requiring stakeholder input."
TENDER_2023_PRJ_04,Project Delivery,Explain how you manage requirements and scope changes.,"Requirements are captured, validated, and traceable. Scope changes follow a change control process assessing impact, approvals, and updates to plans, timelines, and documentation."
TENDER_2023_COM_01,Commercial & Pricing,Describe your approach to pricing transparency.,"Pricing is designed to be transparent and aligned to the service scope. Inclusions, exclusions, and assumptions are clearly documented to support informed decision-making."
TENDER_2023_COM_02,Commercial & Pricing,Explain how cost estimates are developed.,"Estimates are developed using service requirements, resource assumptions, delivery approach, and operational considerations. Estimates are reviewed for completeness and consistency."
TENDER_2023_COM_03,Commercial & Pricing,Describe how commercial and financial risks are managed.,"Commercial risks are considered during contracting and delivery governance. Financial performance is monitored, and emerging risks are managed through agreed governance mechanisms."
TENDER_2023_COM_04,Commercial & Pricing,Describe your invoicing and billing approach.,Billing is managed through agreed invoicing schedules and clear line items aligned to deliverables or service periods. Supporting documentation can be provided as required.
TENDER_2024_SEC_11,Security & Compliance,Do you hold ISO 27001 certification? Provide certificate number and expiry date.,"Where applicable, certification documentation and supporting evidence can be provided during due diligence, subject to confidentiality. Certificate identifiers and expiry details are provided via official documentation channels upon request."
TENDER_2024_SEC_12,Security & Compliance,"Confirm that all customer data is encrypted in transit and at rest. Specify encryption standards (e.g., TLS 1.2+, AES-256).","Data is protected in transit using modern TLS protocols and at rest using platform-level encryption. Specific cipher suites, key management practices, and configuration details can be provided upon request and may vary by hosting environment."
TENDER_2024_SEC_13,Security & Compliance,Describe your approach to penetration testing and vulnerability scanning.,"Vulnerability scanning is conducted on a scheduled basis and penetration testing is performed periodically or when material changes occur. Findings are prioritised, assigned owners, tracked to closure, and validated with evidence of remediation."
TENDER_2024_OPS_09,Operations & Support,What uptime SLA do you guarantee and how is it measured?,"Service availability targets and measurement approaches are defined contractually. Availability is monitored using agreed metrics and reporting intervals, with incident and maintenance windows accounted for in line with agreed SLA terms."
TENDER_2024_ARCH_06,Architecture & Technology,Describe how you approach API security and integration controls.,"API integrations are secured through authentication/authorisation controls, transport security, and validation of inputs/outputs. Integration patterns include logging, monitoring, and controlled error handling to support reliable and secure interoperability."
TENDER_2024_SVC_05,Service Delivery,Describe your escalation process for critical incidents.,"Critical incidents are escalated based on severity with clear communication pathways to stakeholders. Escalation includes defined response roles, update frequency, and post-incident review practices to reduce recurrence."
TENDER_2024_PRJ_05,Project Delivery,Describe your approach to stakeholder engagement and communications during delivery.,"Stakeholders are engaged through agreed governance forums, workshops, and regular status reporting. Communication plans define audiences, cadence, key messages, and escalation pathways."
TENDER_2024_COM_05,Commercial & Pricing,Describe any assumptions or dependencies that may affect pricing.,"Pricing assumptions and dependencies are documented (e.g., scope boundaries, availability of SMEs, integration complexity). Any material changes to assumptions are managed through agreed change control processes."
